From_Station,From_City,To_Station,To_City,Fare_Rate
Leeuwarden,Leeuwarden,Maastricht,Maastricht,222
Leeuwarden,Leeuwarden,Nijmegen,Nijmegen,190
Leeuwarden,Leeuwarden,Rheden,Rheden,161
Leeuwarden,Leeuwarden,Rotterdam Centraal,Rotterdam,238
Leeuwarden,Leeuwarden,Tilburg,Tilburg,252
Leeuwarden,Leeuwarden,Utrecht Centraal,Utrech,182
Leeuwarden,Leeuwarden,Vlissingen,Vlissingen,370
Leeuwarden,Leeuwarden,Zwolle,Zwolle,95
Leiden Centraal,Leiden,Amsterdam Centraal,Amsterdam,48
Leiden Centraal,Leiden,Arnhem Centraal,Arnhem,108
Leiden Centraal,Leiden,Breda,Breda,88
Leiden Centraal,Leiden,Bunnik,Bunnik,58
Leiden Centraal,Leiden,Delft,Delft,24
Leiden Centraal,Leiden,Deventer,Deventer,129
Leiden Centraal,Leiden,Diemen,Diemen,51
Leiden Centraal,Leiden,Driebergen-Zeist,Zeist,62
Leiden Centraal,Leiden,Dronten,Dronten,118
Leiden Centraal,Leiden,Ede Centrum,Ede,93
Leiden Centraal,Leiden,Ede-Wageningen,Wageningen,91
Leiden Centraal,Leiden,Eindhoven Centraal,Eindhoven,130
Leiden Centraal,Leiden,Enschede,Enschede,185
Leiden Centraal,Leiden,Groningen,Groningen,243
Leiden Centraal,Leiden,Haarlem,Haarlem,29
Leiden Centraal,Leiden,Harlingen,Harlingen,258
Leiden Centraal,Leiden,Heerlen,Heerlen,135
Leiden Centraal,Leiden,Hilversum,Hilversum,68
Leiden Centraal,Leiden,Leeuwarden,Leeuwarden,232
Leiden Centraal,Leiden,Maarn,Utrechtse Heuvelrug,70
Leiden Centraal,Leiden,Maastricht,Maastricht,161
Leiden Centraal,Leiden,Nijmegen,Nijmegen,127
Leiden Centraal,Leiden,Rheden,Rheden,118
Leiden Centraal,Leiden,Rotterdam Centraal,Rotterdam,38
Leiden Centraal,Leiden,Tilburg,Tilburg,109
Leiden Centraal,Leiden,Utrecht Centraal,Utrech,50
Leiden Centraal,Leiden,Vlissingen,Vlissingen,171
Leiden Centraal,Leiden,Zwolle,Zwolle,137
Maastricht,Maastricht,Amsterdam Centraal,Amsterdam,149
Maastricht,Maastricht,Arnhem Centraal,Arnhem,53
Maastricht,Maastricht,Breda,Breda,156
Maastricht,Maastricht,Bunnik,Bunnik,103
Maastricht,Maastricht,Delft,Delft,180
Maastricht,Maastricht,Deventer,Deventer,96
Maastricht,Maastricht,Diemen,Diemen,142
Maastricht,Maastricht,Driebergen-Zeist,Zeist,99
Maastricht,Maastricht,Dronten,Dronten,159
Maastricht,Maastricht,Ede Centrum,Ede,72
Maastricht,Maastricht,Ede-Wageningen,Wageningen,70
Maastricht,Maastricht,Eindhoven Centraal,Eindhoven,98
Maastricht,Maastricht,Enschede,Enschede,133
Maastricht,Maastricht,Groningen,Groningen,233
Maastricht,Maastricht,Haarlem,Haarlem,168
Maastricht,Maastricht,Harlingen,Harlingen,248
Maastricht,Maastricht,Heerlen,Heerlen,26
Maastricht,Maastricht,Hilversum,Hilversum,120
Maastricht,Maastricht,Leeuwarden,Leeuwarden,222
Maastricht,Maastricht,Leiden Centraal,Leiden,161
Maastricht,Maastricht,Maarn,Utrechtse Heuvelrug,91
Maastricht,Maastricht,Nijmegen,Nijmegen,72
