From_Station,From_Country,To_Station,To_Country,Fare_Rate
Utrecht Centraal,NL,Deventer,NL,79
Vlissingen,NL,Deventer,NL,249
Zwolle,NL,Deventer,NL,31
Arnhem Centraal,NL,Ede-Wageningen,NL,17
Amersfoort Centraal,NL,Ede-Wageningen,NL,34
Breda,NL,Ede-Wageningen,NL,122
Bunnik,NL,Ede-Wageningen,NL,33
Driebergen-Zeist,NL,Ede-Wageningen,NL,29
Diemen,NL,Ede-Wageningen,NL,72
Dronten,NL,Ede-Wageningen,NL,125
Delft,NL,Ede-Wageningen,NL,110
Deventer,NL,Ede-Wageningen,NL,62
Ede Centrum,NL,Ede-Wageningen,NL,2
Eindhoven Centraal,NL,Ede-Wageningen,NL,111
Enschede,NL,Ede-Wageningen,NL,99
Groningen,NL,Ede-Wageningen,NL,199
Haarlem,NL,Ede-Wageningen,NL,98
Heerlen,NL,Ede-Wageningen,NL,44
Hilversum,NL,Ede-Wageningen,NL,50
Leiden Centraal,NL,Ede-Wageningen,NL,91
Leeuwarden,NL,Ede-Wageningen,NL,188
Maarn,NL,Ede-Wageningen,NL,21
Nijmegen,NL,Ede-Wageningen,NL,36
Rheden,NL,Ede-Wageningen,NL,27
Rotterdam Centraal,NL,Ede-Wageningen,NL,97
Tilburg,NL,Ede-Wageningen,NL,101
Utrecht Centraal,NL,Ede-Wageningen,NL,41
Vlissingen,NL,Ede-Wageningen,NL,221
Zwolle,NL,Ede-Wageningen,NL,93
Arnhem Centraal,NL,Ede Centrum,NL,19
Amersfoort Centraal,NL,Ede Centrum,NL,32
Breda,NL,Ede Centrum,NL,124
Bunnik,NL,Ede Centrum,NL,35
Driebergen-Zeist,NL,Ede Centrum,NL,31
Diemen,NL,Ede Centrum,NL,70
Dronten,NL,Ede Centrum,NL,127
Delft,NL,Ede Centrum,NL,112
Deventer,NL,Ede Centrum,NL,64
Ede-Wageningen,NL,Ede Centrum,NL,2
Eindhoven Centraal,NL,Ede Centrum,NL,113
Enschede,NL,Ede Centrum,NL,101
Groningen,NL,Ede Centrum,NL,201
Haarlem,NL,Ede Centrum,NL,96
Heerlen,NL,Ede Centrum,NL,46
Hilversum,NL,Ede Centrum,NL,48
Leiden Centraal,NL,Ede Centrum,NL,93
Leeuwarden,NL,Ede Centrum,NL,190
Maarn,NL,Ede Centrum,NL,23
Nijmegen,NL,Ede Centrum,NL,38
Rheden,NL,Ede Centrum,NL,29
Rotterdam Centraal,NL,Ede Centrum,NL,99
Tilburg,NL,Ede Centrum,NL,103
Utrecht Centraal,NL,Ede Centrum,NL,43
Vlissingen,NL,Ede Centrum,NL,223
Zwolle,NL,Ede Centrum,NL,95
Arnhem Centraal,NL,Eindhoven Centraal,NL,94
Amersfoort Centraal,NL,Eindhoven Centraal,NL,101
Breda,NL,Eindhoven Centraal,NL,58
Bunnik,NL,Eindhoven Centraal,NL,86
Driebergen-Zeist,NL,Eindhoven Centraal,NL,90
Diemen,NL,Eindhoven Centraal,NL,118
